iter	Passed	Remaining
1370	78974	7430
1371	79029	7372
1372	79077	7314
1373	79126	7256
1374	79174	7197
1375	79225	7139
1376	79295	7083
1377	79343	7024
1378	79393	6966
1379	79442	6908
1380	79533	6853
1381	79588	6795
1382	79634	6737
1383	79692	6679
1384	79770	6623
1385	79829	6566
1386	79879	6507
1387	79926	6449
1388	79974	6391
1389	80042	6334
1390	80116	6278
1391	80178	6220
1392	80265	6165
1393	80319	6107
1394	80368	6049
1395	80416	5990
1396	80469	5932
1397	80588	5879
1398	80680	5824
1399	80748	5767
1400	80815	5710
1401	80882	5653
1402	80936	5595
1403	80991	5537
1404	81062	5481
1405	81116	5423
1406	81165	5364
1407	81225	5307
1408	81278	5249
1409	81329	5191
1410	81378	5133
1411	81429	5074
1412	81479	5016
1413	81529	4958
1414	81627	4903
1415	81701	4846
1416	81753	4788
1417	81802	4730
1418	81853	4672
1419	81911	4614
1420	81962	4556
1421	82012	4498
1422	82061	4440
1423	82160	4384
1424	82236	4328
1425	82293	4270
1426	82341	4212
1427	82393	4154
1428	82440	4096
1429	82487	4037
1430	82534	3979
1431	82579	3921
1432	82623	3863
1433	82669	3804
1434	82716	3746
1435	82762	3688
1436	82811	3630
1437	82858	3572
1438	82905	3514
1439	82954	3456
1440	83000	3398
1441	83048	3340
1442	83094	3282
1443	83141	3224
1444	83189	3166
1445	83234	3108
1446	83281	3050
1447	83326	2992
1448	83381	2934
1449	83430	2876
1450	83476	2818
1451	83522	2761
1452	83574	2703
1453	83618	2645
1454	83669	2587
1455	83718	2529
1456	83764	2472
1457	83812	2414
1458	83865	2356
1459	83916	2299
1460	83969	2241
1461	84021	2183
1462	84073	2126
1463	84120	2068
1464	84171	2010
1465	84234	1953
1466	84282	1895
1467	84333	1838
1468	84382	1780
1469	84440	1723
1470	84489	1665
1471	84540	1608
1472	84595	1550
1473	84684	1493
1474	84758	1436
1475	84815	1379
1476	84864	1321
1477	84912	1263
1478	84960	1206
1479	85006	1148
1480	85055	1091
1481	85104	1033
1482	85151	976
1483	85196	918
1484	85243	861
1485	85290	803
1486	85346	746
1487	85409	688
1488	85471	631
1489	85528	574
1490	85579	516
1491	85625	459
1492	85681	401
1493	85752	344
1494	85826	287
1495	85911	229
1496	86004	172
1497	86064	114
1498	86124	57
1499	86209	0
