Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
"1,091","1,054",773,70.9,5.4,73.3,5.3,684,62.7,5.7,64.9,5.8
309,173,90,29.3,10.5,52.1,15.3,84,27.1,10.2,48.3,15.3
"4,339","4,142","3,436",79.2,2.5,82.9,2.4,"3,225",74.3,2.7,77.9,2.7
"2,149","2,051","1,690",78.6,3.6,82.4,3.5,"1,575",73.3,3.9,76.8,3.8
"2,190","2,091","1,746",79.7,3.5,83.5,3.3,"1,649",75.3,3.8,78.9,3.7
"3,744","3,678","3,086",82.4,2.6,83.9,2.5,"2,918",77.9,2.8,79.3,2.8
"3,573","3,555","2,990",83.7,2.5,84.1,2.5,"2,840",79.5,2.8,79.9,2.8
260,197,139,53.5,12.2,70.5,12.8,130,50.2,12.2,66.1,13.3
179,115,91,51.2,15.2,79.4,15.3,74,41.3,15,64,18.2
209,156,116,55.8,14.8,74.7,15,98,46.8,14.9,62.7,16.7
"3,816","3,750","3,146",82.5,2.5,83.9,2.5,"2,979",78.1,2.8,79.4,2.7
299,236,170,56.9,11.3,72,11.5,161,54,11.4,68.3,11.9
191,127,104,54.3,14.6,81.4,14,86,45.1,14.6,67.5,16.8
"2,212","2,177","1,749",79.1,2.8,80.4,2.7,"1,531",69.2,3.2,70.3,3.2
"1,029","1,015",792,76.9,4.2,78,4.2,680,66.1,4.8,67,4.8
"1,182","1,162",957,81,3.7,82.4,3.6,850,71.9,4.2,73.2,4.2
"1,350","1,337","1,054",78.1,3.6,78.8,3.6,921,68.3,4.1,68.9,4.1
"1,300","1,295","1,026",78.9,3.6,79.2,3.6,904,69.5,4.1,69.8,4.1
792,787,654,82.5,4.2,83.1,4.1,573,72.3,4.9,72.8,4.9
37,20,9,B,B,B,B,8,B,B,B,B
67,53,34,B,B,B,B,23,B,B,B,B
"1,375","1,363","1,079",78.5,3.6,79.2,3.5,942,68.5,4,69.1,4
805,799,666,82.8,4.1,83.4,4.1,582,72.4,4.9,72.9,4.8
41,24,13,B,B,B,B,11,B,B,B,B
"4,637","4,475","3,388",73.1,2.7,75.7,2.7,"2,990",64.5,2.9,66.8,2.9
"2,205","2,136","1,556",70.5,4,72.9,4,"1,361",61.7,4.3,63.7,4.3
"2,432","2,340","1,832",75.3,3.6,78.3,3.5,"1,629",67,4,69.6,4
"3,871","3,812","2,935",75.8,2.9,77,2.8,"2,576",66.5,3.2,67.6,3.2
"3,687","3,664","2,816",76.4,2.9,76.8,2.9,"2,488",67.5,3.2,67.9,3.2
518,507,373,72.1,7.8,73.6,7.8,351,67.8,8.2,69.2,8.1
138,64,38,B,B,B,B,38,B,B,B,B
232,178,127,54.8,14.2,71.3,14.7,95,40.9,14,53.3,16.3
"3,941","3,873","2,963",75.2,2.9,76.5,2.8,"2,588",65.7,3.1,66.8,3.1
552,533,381,69,7.8,71.4,7.8,351,63.6,8.1,65.8,8.2
146,72,46,B,B,B,B,46,B,B,B,B
836,827,641,76.6,2.6,77.5,2.6,607,72.6,2.8,73.5,2.8
415,411,322,77.8,3.7,78.4,3.6,299,72,4,72.5,3.9
422,415,318,75.5,3.8,76.7,3.7,309,73.2,3.9,74.4,3.8
772,765,597,77.3,2.7,78,2.7,572,74,2.8,74.7,2.8
757,751,584,77.2,2.7,77.8,2.7,560,74,2.9,74.6,2.9
4,4,2,B,B,B,B,2,B,B,B,B
10,7,4,B,B,B,B,4,B,B,B,B
20,19,15,B,B,B,B,14,B,B,B,B
791,784,609,77,2.7,77.7,2.7,582,73.6,2.8,74.3,2.8
6,6,4,B,B,B,B,3,B,B,B,B
13,10,5,B,B,B,B,5,B,B,B,B
"1,435","1,369",971,67.7,3.4,70.9,3.4,892,62.2,3.5,65.2,3.5
708,674,464,65.6,4.9,68.9,4.9,421,59.6,5,62.5,5.1
728,695,507,69.7,4.7,73,4.6,471,64.7,4.8,67.8,4.8
"1,301","1,255",903,69.4,3.5,71.9,3.5,826,63.5,3.6,65.8,3.7
"1,205","1,202",877,72.7,3.5,72.9,3.5,801,66.5,3.7,66.6,3.7
80,71,45,B,B,B,B,44,B,B,B,B
26,17,9,B,B,B,B,9,B,B,B,B
98,55,28,B,B,B,B,27,B,B,B,B
"1,307","1,261",907,69.4,3.5,71.9,3.5,830,63.5,3.6,65.8,3.7
82,73,47,B,B,B,B,46,B,B,B,B
26,17,9,B,B,B,B,9,B,B,B,B
"2,402","2,198","1,455",60.6,3.2,66.2,3.3,"1,351",56.3,3.3,61.5,3.4
"1,192","1,088",698,58.6,4.6,64.1,4.7,649,54.5,4.7,59.7,4.8
"1,210","1,110",757,62.6,4.5,68.2,4.5,702,58,4.6,63.2,4.7
"1,691","1,561","1,072",63.4,3.8,68.6,3.8,"1,013",59.9,3.9,64.9,3.9
"1,211","1,187",868,71.7,4.2,73.1,4.2,827,68.3,4.3,69.7,4.3
233,232,155,66.5,9.6,66.8,9.6,136,58.2,10,58.5,10
230,195,136,59,10.4,69.7,10.5,134,58.4,10.4,68.9,10.6
654,515,268,41,6.5,52,7.5,239,36.6,6.4,46.4,7.5
